,state,ft,bt,km,transmission,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,Registration Year,Insurance Validity,Fuel Type,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Year of Manufacture,Features,Mileage,Engine,Max Power,Torque,Color,Engine Type,Displacement,Max Torque,No of Cylinder,Fuel Suppy System,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Kerb Weight,Gear Box,Drive Type,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,Cargo Volumn
686,bangalore,Diesel,Hatchback,"83,873",Manual,1,Maruti,Maruti Baleno,2018,3968,1.3 Alpha,746000.0,2018,Zero Dep,Diesel,5.0,83873,KA01,1248 cc,Manual,2018.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio",27.39,1248.0,74bhp@4000rpm,190,Silver,DDiS Diesel Engine,1248.0,190Nm@2000rpm,4,CRDi,Yes,No,3995,1745,1510,2520,985kg,5 Speed,FWD,Power,4.9,Disc,Drum,"Tubeless,Radial",5,355
687,bangalore,Diesel,Sedan,"1,20,000",Manual,2,Skoda,Skoda Rapid,2012,3168,1.6 TDI Ambition,370000.0,2012,Third Party insurance,Diesel,5.0,120000,KA05,1598 cc,Manual,2012.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist",20.5,1598.0,103.5bhp@4400rpm,250,Others,Turbocharged Diesel Engin,1598.0,250Nm@1500-2500rpm,4,Direct Injection,Yes,No,4386,1699,1466,2552,1205kg,5 Speed,FWD,Power,5.3,Disc,Drum,"Tubeless,Radial",4,355
688,bangalore,Petrol,Sedan,"93,059",Manual,2,Hyundai,Hyundai Verna,2016,1775,1.6 SX VTVT,667000.0,2016,Comprehensive,Petrol,5.0,93059,KA03,1591 cc,Manual,2016.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player",17.01,1591.0,121.3bhp@6300rpm,154,Silver,VTVT Petrol Engine,1591.0,154.9Nm@4200rpm,4,MPFI,No,No,4375,1700,1475,2570,1290,5 Speed,FWD,Power,5.2,Disc ,Drum,Tubeless,4,355
689,bangalore,Petrol,Hatchback,"45,681",Manual,1,Maruti,Maruti Baleno,2017,3962,1.2 Delta,634000.0,2017,Zero Dep,Petrol,5.0,45681,KA51,1197 cc,Manual,2017.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Cd Player",21.4,1197.0,83.1bhp@6000rpm,115,Blue,VVT Petrol Engine,1197.0,115Nm@4000rpm,4,MPFI,No,No,3995,1745,1510,2520,870kg,5 Speed,FWD,Power,5.0,Disc,Drum,"Tubeless,Radial",5,355
690,bangalore,Petrol,Sedan,"50,000",Manual,3,Maruti,Maruti 1000,1998,3872,AC,40000.0,2019,Third Party insurance,Petrol,5.0,50000,KA01,970 cc,Manual,2019.0,"Power Steering,Power Windows Front,Air Conditioner,Heater",15.0,970.0,,1370,White,,970.0,,3,,,,4047,1709,1567,2523,,,,Power,5.0,,,"Tubeless,Radial",4,355
691,bangalore,Petrol,Hatchback,"45,938",Manual,2,Honda,Honda Jazz,2017,1339,1.2 V i VTEC,579000.0,2017,Comprehensive,Petrol,5.0,45938,KA03,1199 cc,Manual,2017.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player",18.7,1199.0,88.7bhp@6000rpm,110,Brown,i-VTEC Petrol Engine,1199.0,110Nm@4800rpm,4,PGM - Fi,No,No,3955,1694,1544,2530,1044kg,5 Speed,FWD,Power,5.0,Disc,Drum,"Tubeless,Radial",5,355
692,bangalore,Petrol,Hatchback,"40,000",Manual,1,Maruti,Maruti Baleno,2018,3962,1.2 Delta,509999.99999999994,2018,Third Party insurance,Petrol,5.0,40000,WB26,1197 cc,Manual,2018.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Cd Player",21.4,1197.0,83.1bhp@6000rpm,115,Others,VVT Petrol Engine,1197.0,115Nm@4000rpm,4,MPFI,No,No,3995,1745,1510,2520,870kg,5 Speed,FWD,Power,5.0,Disc,Drum,"Tubeless,Radial",5,355
693,bangalore,Petrol,Hatchback,"57,423",Manual,2,Maruti,Maruti Swift,2018,10407,ZXI Plus,634000.0,2018,Third Party insurance,Petrol,5.0,57423,KA01,1197 cc,Manual,2018.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio",22.38,1197.0,88.50bhp@6000rpm,113,Blue,K Series Dual jet,1197.0,113Nm@4400rpm,4,,,,3845,1735,1530,2450,875-905,5-Speed,,Electric,4.8,Disc,Drum,"Radial, Tubeless",5,268
694,bangalore,Petrol,Hatchback,"60,942",Automatic,1,Hyundai,Hyundai Grand i10,2015,1544,AT Asta,527000.0,2015,Third Party,Petrol,5.0,60942,KA06,1197 cc,Automatic,2015.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Centeral Locking,Power Door Locks,Cd Player",18.9,1197.0,82bhp@6000rpm,114,Silver,Kappa VTVT Petrol Engine,1197.0,114Nm@4000rpm,4,MPFI,No,No,3765,1660,1520,2425,935kg,4 Speed,FWD,Power,4.8,Disc,Drum,Tubeless,5,355
695,bangalore,Petrol,SUV,"70,000",Automatic,1,Hyundai,Hyundai Creta,2018,1452,1.6 VTVT AT SX Plus,900000.0,2018,Third Party insurance,Petrol,5.0,70000,,1591 cc,Automatic,2018.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio",13.0,1591.0,121.3bhp@6400rpm,151,Others,VTVT Petrol Engine,1591.0,151Nm@4850rpm,4,MPFi,No,No,4270,1780,1630,2590,1280,6 Speed,FWD,Power,5.3,Disc,Drum,Tubeless,5,355
696,bangalore,Diesel,SUV,"80,000",Manual,2,Jeep,Jeep Compass,2018,5929,2.0 Limited,1500000.0,2018,Third Party insurance,Diesel,5.0,80000,KA51,1956 cc,Manual,2018.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player",17.1,1956.0,170bhp@3750rpm,350,Others,2.0-Litre 4-Cyl Multijet II Engine,1956.0,350Nm@1750-2500rpm,4,CRDI,Yes,No,4395,1818,1640,2636,1562 kgs,6 Speed,4X2,Power,5.0,Disc,Discs,"Radial, Tubless",5,355
697,bangalore,Diesel,SUV,"19,875",Automatic,1,Citroen,Citroen C5 Aircross,2021,8326,Shine,3000000.0,2021,Comprehensive,Diesel,5.0,19875,KA04,1997 cc,Automatic,2021.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio",18.6,1997.0,174.33@3750rpm,400,Black,DW10FC,1997.0,400Nm@2000rpm,4,,,,4500,2099,1710,2730,1510,8-Speed,,Power,5.35,Disc,Disc,Tubeless,5,580
698,bangalore,Diesel,SUV,"20,000",Automatic,1,Mahindra,Mahindra XUV700,2022,8626,AX7 Diesel AT Luxury Pack BSVI,2750000.0,2022,Third Party insurance,Diesel,7.0,20000,KA53,2198 cc,Automatic,2022.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio",19.7,2198.0,182.38bhp@3500rpm,450,Black,2.2 L Turbo Diesel,2198.0,450Nm@1750-2800rpm,4,CRDi,Yes,,4695,1890,1755,2750,1890,6-Speed,FWD,Power,5.0,Ventilated Disc,Solid Disc,"Tubeless, Radial",5,355
699,bangalore,Petrol,Hatchback,"10,000",Manual,2,Hyundai,Hyundai Grand i10 Nios,2021,7091,Sportz,650000.0,2021,Third Party insurance,Petrol,5.0,10000,WB08,1197 cc,Manual,2021.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio",20.7,1197.0,81.86bhp@6000rpm,113,Others,1.2 Kappa petrol,1197.0,113.8nm@4000rpm,4,,No,,3805,1680,1520,2450,1160,5-Speed,,Electric,5.0,Disc,Drum,"Tubeless, Radial",5,355
700,bangalore,Diesel,MUV,"1,20,000",Manual,2,Toyota,Toyota Innova,2012,2384,2.5 GX (Diesel) 7 Seater BS IV,965000.0,2012,Third Party insurance,Diesel,7.0,120000,,2494 cc,Manual,2012.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Power Adjustable Exterior Rear View Mirror,Rear Window Wiper,Anti Lock Braking System,Centeral Locking,Cd Player",12.99,2494.0,100bhp@3600rpm,200,Others,In-Line Engine,2494.0,200Nm@1400-3400rpm,4,Common Rail,Yes,No,4585,1760,1760,2750,1675kg,5 Speed,FWD,Power,5.4,Ventilated Disc,Leading-Trailing Drum,"Tubeless,Radial",5,355
701,bangalore,Petrol,SUV,"20,000",Automatic,1,Volkswagen,Volkswagen Tiguan,2022,7892,2.0 TSI Elegance BSVI,3600000.0,2022,Third Party insurance,Petrol,5.0,20000,,1984 cc,Automatic,2022.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Rear,Anti Lock Braking System,Brake Assist,Radio",12.65,1984.0,187.74bhp@4200-6000rpm,320,Black,2.0 TSI,1984.0,320Nm@1500-4100rpm,4,,Yes,,4509,1839,1665,2679,1703kg,7 Speed DCT,AWD,Electric,5.39,ventilated Disc,Disc,"Tubeless,Radial",5,355
